lat,lng,started_at,arrived_at,delivered_at
43.798168,-79.524817,2024-07-04 11:08:35,2024-07-05 13:59:52,2024-07-05 14:00:41
43.644690,-79.496243,2024-07-04 11:08:36,2024-07-05 17:36:25,2024-07-05 17:38:24
42.911731,-81.289036,2024-07-04 11:08:37,2024-07-05 19:52:46,2024-07-05 19:54:11
43.806314,-79.549931,2024-07-04 11:08:37,2024-07-05 14:32:54,2024-07-05 14:34:25
44.257094,-76.602383,2024-07-04 11:08:38,2024-07-05 18:22:47,2024-07-05 18:23:29
43.191584,-79.517542,2024-07-04 11:08:39,2024-07-05 14:43:59,2024-07-05 14:46:43
43.553875,-79.705267,2024-07-04 11:08:40,2024-07-05 15:34:31,2024-07-05 15:34:54
42.957836,-81.018197,2024-07-04 11:08:41,2024-07-05 18:06:43,2024-07-05 18:08:35
42.773083,-81.198584,2024-07-04 11:08:42,2024-07-05 17:15:47,2024-07-05 17:16:25
44.241566,-76.530049,2024-07-04 11:08:43,2024-07-05 19:15:30,2024-07-05 19:16:10
43.956171,-79.478500,2024-07-04 11:08:44,2024-07-05 19:51:27,2024-07-05 19:52:12
44.624899,-75.94607,2024-07-04 11:08:46,2024-07-05 16:12:22,2024-07-05 16:13:12
44.364755,-79.627975,2024-07-04 11:08:47,2024-07-05 16:49:35,2024-07-05 16:50:25
44.110235,-79.115905,2024-07-04 11:08:48,2024-07-05 17:04:17,2024-07-05 17:05:10
43.505087,-79.841366,2024-07-04 11:38:10,2024-07-05 15:43:12,2024-07-05 15:44:06
43.569336,-79.769489,2024-07-04 11:41:47,2024-07-04 22:56:07,2024-07-04 22:56:49
43.770547,-79.386333,2024-07-04 11:44:17,2024-07-04 23:13:40,2024-07-04 23:16:41
43.854486,-78.952371,2024-07-04 11:46:38,2024-07-04 21:07:08,2024-07-04 21:08:01
43.747799,-79.199977,2024-07-04 11:49:33,2024-07-04 23:37:35,2024-07-04 23:38:38
43.893635,-79.226714,2024-07-04 11:51:58,2024-07-04 22:57:45,2024-07-04 22:58:44
43.823780,-79.273980,2024-07-04 11:56:55,2024-07-04 21:12:02,2024-07-04 21:13:58
43.7720606,-79.2853081,2024-07-04 11:59:09,2024-07-04 21:26:36,2024-07-04 21:31:45
43.672770,-79.328982,2024-07-04 12:02:09,2024-07-04 20:37:29,2024-07-04 20:37:54
43.760566,-79.398637,2024-07-04 12:03:50,2024-07-04 22:10:14,2024-07-04 22:11:31
43.925086,-78.862778,2024-07-04 12:07:05,2024-07-04 22:25:01,2024-07-04 22:25:30
43.417650,-80.381460,2024-07-04 12:07:33,2024-07-05 13:40:32,2024-07-05 15:10:33
43.463863,-80.534514,2024-07-04 12:07:34,2024-07-05 16:27:06,2024-07-05 16:32:28
44.587318,-78.426340,2024-07-04 12:07:34,2024-07-05 22:18:42,2024-07-05 22:19:58
43.951800,-80.113600,2024-07-04 12:07:34,2024-07-05 19:10:32,2024-07-05 19:11:31
43.3757751,-80.1934829,2024-07-04 12:07:34,2024-07-05 17:21:42,2024-07-05 17:28:03
43.432880,-80.432083,2024-07-04 12:07:35,2024-07-05 15:20:00,2024-07-05 15:20:57
43.039354,-81.225767,2024-07-04 12:07:35,2024-07-05 21:05:35,2024-07-05 21:06:05
43.941918,-78.859011,2024-07-04 12:07:35,2024-07-05 16:05:35,2024-07-05 16:06:13
42.887983,-79.25654,2024-07-04 12:07:35,2024-07-05 17:19:50,2024-07-05 17:36:27
43.657599,-79.349896,2024-07-04 12:07:36,2024-07-05 17:38:03,2024-07-05 17:40:48
